けっさい,25,
けっさつ,1,
けっしゅう,1,
けっしゅつ,5,
けっしょ,10,
けっしょう,20,
けっしょく,9,
けっしん,54,
けっせい,3,
けっせき,3,
けっせん,1,
けっそく,2,
けっそん,2,
けったい,24,
けったく,7,
けっちゃく,8,
けってい,5,
けっとう,12,
けっぱい,8,
けっぱつ,6,
けっぱん,3,
けっぴょう,1,
けつ,672,
けつべつ,43,
けばけば,5,
けまり,39,
けむ,296,
けものへん,4,
けら,402,
けり,352,
けれん,17,
けわい,15,
けんか,608,
けんか腰,9,
けんけん,51,
けんけんふくよう,2,
けんさん,22,
けんざん,35,
けんせい,89,
けんせき,63,
けんせん,9,
けんそん,178,
けんたい,120,
けんたん,20,
けんちん汁,1,
けんつく,28,
けんでん,54,
けんぱ,5,
けんぱい,2,
けんぱく,3,
けんび鏡,1,
けんぶん,36,
けんぺい,60,
けんぽ,6,
けんぽう,17,
けんぽん,4,
けんまく,125,
けんもん,30,
けんらん,78,
けん制,1,
けん引,1,
げき,494,
げきか,4,
げきじょう,13,
げざん,7,
げじ,116,
げじげじ,15,
げじげじ眉,3,
げそ,39,
